unknown,multifurcation,Fitch1,Fitch2,Fitch3,Fitch4
0.0,0.95,99.64,99.64,99.64,99.64
0.1,0.95,98.53,98.53,98.53,98.53
0.2,0.95,97.37,97.37,97.38,97.37
0.3,0.95,96.24,96.24,96.24,96.24
0.4,0.95,95.04,95.04,95.04,95.04
0.5,0.95,93.91,93.91,93.92,93.91
