0.95,0.0,59.11,51.99,57.37
0.95,0.05,59.3,52.01,57.52
0.95,0.1,59.01,52.01,57.21
0.95,0.15,59.06,52.04,57.3
0.95,0.2,58.93,52.03,57.14
0.95,0.25,58.87,52.05,57.26
0.95,0.3,58.94,52.07,57.21
0.95,0.35,58.72,52.08,57.09
0.95,0.4,58.73,52.11,57.04
0.95,0.45,58.25,52.12,56.91
0.95,0.5,58.37,52.15,56.95
0.95,0.55,58.04,52.19,56.78
0.95,0.6,57.78,52.22,56.64
0.95,0.65,57.49,52.23,56.23
0.95,0.7,57.1,52.28,56.17
0.95,0.75,56.54,52.32,55.82
0.95,0.8,56.08,52.38,55.43
0.95,0.85,55.47,52.39,55.2
0.95,0.9,54.65,52.43,54.56
