unknown,multifurcation,Fitch,My,Sankoff
0.0,0.95,99.4,99.41,90.08
0.05,0.95,97.4,97.64,99.26
0.1,0.95,95.46,95.78,98.76
0.15,0.95,93.4,93.86,98.28

0.2,0.9,96.58,87.67,96.74
0.25,0.9,96.2,85.41,96.35
0.3,0.9,95.81,83.08,95.98
0.35,0.9,95.38,80.77,95.59
0.4,0.9,94.96,78.44,95.18
0.45,0.9,94.51,76.11,94.81
0.5,0.9,93.98,73.73,94.37
0.55,0.9,93.57,71.4,94.03
0.6,0.9,92.84,69.04,93.45
0.65,0.9,92.22,66.65,93.02
0.7,0.9,91.53,64.32,92.52
0.75,0.9,90.69,61.93,92.0
0.8,0.9,90.03,59.59,91.63
0.85,0.9,89.12,57.18,91.21
0.9,0.9,87.89,54.77,90.77
0.95,0.9,86.2,52.4,90.32
