unknown,multifurcation,Fitch,My,Sankoff
0.0,0.95,98.63,98.44,69.64
0.05,0.95,96.39,96.23,97.63
0.1,0.95,94.1,93.95,96.13
0.15,0.95,91.86,91.7,94.66

0.2,0.9,88.44,82.45,88.89
0.25,0.9,87.32,80.47,87.75
0.3,0.9,86.13,78.4,86.5
0.35,0.9,84.97,76.43,85.33
0.4,0.9,83.69,74.36,84.1
0.45,0.9,82.36,72.37,82.83
0.5,0.9,81.09,70.39,81.58
0.55,0.9,79.55,68.34,80.24
0.6,0.9,78.08,66.33,78.9
0.65,0.9,76.42,64.26,77.32
0.7,0.9,74.75,62.24,76.09
0.75,0.9,72.93,60.2,74.64
0.8,0.9,70.84,58.18,73.12
0.85,0.9,68.58,56.14,71.57
0.9,0.9,65.98,54.11,69.93
0.95,0.9,62.86,52.03,68.26
