unknown,multifurcation,Fitch1,Fitch2,Fitch3,Fitch4
0.0,0.95,99.65,99.65,99.65,99.65
0.1,0.95,98.53,98.53,98.54,98.53
0.2,0.95,97.37,97.37,97.37,97.37
0.3,0.95,96.27,96.27,96.28,96.27
