0.95,0.0,63.89,51.94,67.36
0.95,0.05,63.8,51.94,67.24
0.95,0.1,64.01,51.98,67.32
0.95,0.15,64.12,51.97,67.21
0.95,0.2,63.96,51.99,67.14
0.95,0.25,64.29,52.0,67.38
0.95,0.3,64.23,51.99,67.5
0.95,0.35,64.8,52.05,67.85
0.95,0.4,65.01,52.04,67.97
0.95,0.45,64.72,52.09,67.75
0.95,0.5,64.66,52.11,67.79
0.95,0.55,64.78,52.15,68.14
0.95,0.6,64.58,52.2,68.22
0.95,0.65,63.94,52.25,68.34
0.95,0.7,63.24,52.29,68.65
0.95,0.75,61.7,52.34,68.82
0.95,0.8,60.4,52.4,69.31
0.95,0.85,58.1,52.45,69.6
0.95,0.9,56.36,52.55,70.03
0.95,0.95,54.42,52.58,70.52
