0.95,0.0,73.84,52.06,78.39
0.95,0.05,74.13,52.08,78.68
0.95,0.1,73.83,52.09,78.26
0.95,0.15,74.01,52.1,78.51
0.95,0.2,74.12,52.1,78.57
0.95,0.25,74.2,52.13,78.52
0.95,0.3,74.32,52.16,78.66
0.95,0.35,74.76,52.17,78.84
0.95,0.4,74.79,52.17,78.72
0.95,0.45,74.85,52.2,78.61
0.95,0.5,75.11,52.25,78.9
0.95,0.55,75.32,52.28,78.9
0.95,0.6,75.04,52.33,78.97
0.95,0.65,74.66,52.37,79.03
0.95,0.7,72.62,52.47,79.35
0.95,0.75,71.3,52.51,79.53
0.95,0.8,67.83,52.6,79.62
0.95,0.85,64.36,52.68,79.69
0.95,0.9,60.59,52.77,80.02
