unknown,multifurcation,Fitch,My,Sankoff
0.0,0.95,98.87,98.79,79.51
0.05,0.95,96.68,96.75,98.33
0.1,0.95,94.5,94.68,97.35
0.15,0.95,92.31,92.53,96.36
0.2,0.95,90.12,90.37,95.43

0.25,0.9,90.93,82.3,91.36
0.3,0.9,89.96,80.15,90.49
0.35,0.9,89.16,78.07,89.7
0.4,0.9,88.35,75.94,89.01
0.45,0.9,87.29,73.76,88.01
0.5,0.9,86.32,71.63,87.28
0.55,0.9,85.27,69.51,86.39
0.6,0.9,84.19,67.32,85.59
0.65,0.9,82.94,65.21,84.66
0.7,0.9,81.59,63.01,83.61
0.75,0.9,80.31,60.87,82.89
0.8,0.9,78.59,58.69,81.78
0.85,0.9,76.97,56.52,80.85
0.9,0.9,75.02,54.34,79.99

0.95,0.95,56.52,52.92,80.31

