unknown,Fitch,My,Sankoff
0.0,94.65,92.88,79.72
0.05,93.99,90.79,94.42
0.1,93.24,88.68,93.67
0.15,92.5,86.55,92.94
0.2,91.69,84.42,92.11
0.25,90.93,82.3,91.36
0.3,89.96,80.15,90.49
0.35,89.16,78.07,89.7
0.4,88.35,75.94,89.01
0.45,87.29,73.76,88.01
0.5,86.32,71.63,87.28
0.55,85.27,69.51,86.39
0.6,84.19,67.32,85.59
0.65,82.94,65.21,84.66
0.7,81.59,63.01,83.61
0.75,80.31,60.87,82.89
0.8,78.59,58.69,81.78
0.85,76.97,56.52,80.85
0.9,75.02,54.34,79.99
0.95,72.19,52.17,79.1
