0.0,97.95,97.95,98.04,98.13
0.05,97.7,97.7,97.8,97.88
0.1,97.44,97.44,97.57,97.63
0.15,97.18,97.18,97.35,97.4
0.2,96.87,96.87,97.07,97.1
0.25,96.56,96.56,96.82,96.83
0.3,96.24,96.24,96.56,96.54
0.35,95.89,95.89,96.27,96.24
0.4,95.53,95.53,95.99,95.94
0.45,95.12,95.12,95.67,95.59
0.5,94.71,94.71,95.37,95.27
0.55,94.28,94.28,95.03,94.91
0.6,93.8,93.8,94.67,94.53
0.65,93.29,93.29,94.3,94.13
0.7,92.72,92.72,93.88,93.67
0.75,92.13,92.13,93.44,93.21
0.8,91.5,91.5,93.0,92.73
0.85,90.75,90.75,92.46,92.16
0.9,89.9,89.9,91.78,91.46
0.95,88.92,88.92,91.07,90.71
