0.95,0.0,59.16,51.91,59.61
0.95,0.05,58.86,51.92,59.29
0.95,0.1,59.08,51.94,59.72
0.95,0.15,58.93,51.96,59.47
0.95,0.2,59.37,51.99,59.85
0.95,0.25,59.14,51.98,59.57
0.95,0.3,59.06,52.0,59.53
0.95,0.35,59.02,52.03,59.7
0.95,0.4,59.19,52.06,59.67
0.95,0.45,59.17,52.07,59.67
0.95,0.5,58.97,52.09,59.84
0.95,0.55,58.66,52.12,59.47
0.95,0.6,58.8,52.17,59.96
0.95,0.65,58.31,52.2,60.09
0.95,0.7,57.79,52.23,60.06
0.95,0.75,57.25,52.29,60.47
0.95,0.8,56.45,52.35,60.69
0.95,0.85,55.48,52.39,60.82
0.95,0.9,54.53,52.44,61.14
