unknown,Fitch,My,Sankoff
0.0,97.93,96.89,90.23
0.05,97.55,94.57,97.76
0.1,97.24,92.31,97.4
0.15,96.95,90.01,97.12
0.2,96.58,87.67,96.74
0.25,96.2,85.41,96.35
0.3,95.81,83.08,95.98
0.35,95.38,80.77,95.59
0.4,94.96,78.44,95.18
0.45,94.51,76.11,94.81
0.5,93.98,73.73,94.37
0.55,93.57,71.4,94.03
0.6,92.84,69.04,93.45
0.65,92.22,66.65,93.02
0.7,91.53,64.32,92.52
0.75,90.69,61.93,92.0
0.8,90.03,59.59,91.63
0.85,89.12,57.18,91.21
0.9,87.89,54.77,90.77
0.95,86.2,52.4,90.32
