unknown,Fitch,My,Sankoff
0.0,92.51,90.45,69.69
0.05,91.51,88.44,92.16
0.1,90.62,86.51,91.18
0.15,89.53,84.46,90.05
0.2,88.44,82.45,88.89
0.25,87.32,80.47,87.75
0.3,86.13,78.4,86.5
0.35,84.97,76.43,85.33
0.4,83.69,74.36,84.1
0.45,82.36,72.37,82.83
0.5,81.09,70.39,81.58
0.55,79.55,68.34,80.24
0.6,78.08,66.33,78.9
0.65,76.42,64.26,77.32
0.7,74.75,62.24,76.09
0.75,72.93,60.2,74.64
0.8,70.84,58.18,73.12
0.85,68.58,56.14,71.57
0.9,65.98,54.11,69.93
0.95,62.86,52.03,68.26
